Segment,CustLocation,Customer_Count,Monetary,Recency,Frequency
Churn Risk,(SUB URBAN) MUMBAI,1,50030.0,26.0,2.0
Churn Risk,(WEST) MUMBAI,1,49851.69,39.0,2.0
Churn Risk,.,1,75199.0,78.0,1.0
Churn Risk,ABU DHABI,2,60822.0,53.0,1.0
Churn Risk,ADAMPUR,1,87799.0,36.0,2.0
Churn Risk,AGARTALA,3,65682.0,58.333333333333336,1.6666666666666667
Churn Risk,AGRA,9,84882.87444444445,57.55555555555556,2.3333333333333335
Churn Risk,AHMEDABAD,34,69670.67705882352,50.970588235294116,1.5588235294117647
Churn Risk,AHMEDNAGAR,1,56044.0,58.0,2.0
Churn Risk,AIZAWL,1,77219.15,29.0,4.0
Churn Risk,AJMAN,1,81058.0,66.0,2.0
Churn Risk,AJMER,1,50010.0,53.0,2.0
Churn Risk,AJNALA,2,75000.0,52.0,1.0
Churn Risk,AL QUOZ IND 3,1,48650.0,69.0,1.0
Churn Risk,ALIGARH,2,64771.5,40.5,1.5
Churn Risk,ALLAHABAD,104,87947.04240384615,53.26923076923077,1.4230769230769231
Churn Risk,ALWAR,8,114718.81125,51.0,2.5
Churn Risk,AMBALA,2,86499.5,55.5,1.5
Churn Risk,AMBALA CANTONMENT,1,82007.0,42.0,2.0
Churn Risk,AMBALA CANTT,1,41895.0,47.0,2.0
Churn Risk,AMBERNATH,1,55683.46,39.0,1.0
Churn Risk,AMRAVATI,1,50668.47,33.0,2.0
Churn Risk,AMRITSAR,16,65676.49125,54.8125,1.625
Churn Risk,ANAND,7,96249.42857142857,47.0,1.5714285714285714
Churn Risk,ANANTAPUR,2,42730.5,57.5,1.5
Churn Risk,ANDHERI E MUMBAI,2,51140.025,56.5,2.0
Churn Risk,ANDHERI EAST MUMBAI,3,89975.67,43.666666666666664,1.6666666666666667
Churn Risk,ANNAPOORNESHWARI TEMPLE BANGALORE,3,51180.0,43.0,1.0
Churn Risk,ANTWERPEN,1,47681.0,75.0,1.0
Churn Risk,ASANSOL,3,49406.666666666664,58.0,1.6666666666666667
Churn Risk,AURAIYA,1,50242.0,45.0,3.0
Churn Risk,AURANGABAD,3,68339.47333333333,49.0,2.3333333333333335
Churn Risk,AZAMGARH,1,112545.0,64.0,3.0
Churn Risk,BADLAPUR,2,92579.5,36.5,2.5
Churn Risk,BAHADURGARH,1,103866.0,75.0,2.0
Churn Risk,BALASORE,1,42873.72,56.0,2.0
Churn Risk,BALLIA,1,100599.0,62.0,2.0
Churn Risk,BAMBOLIM,2,52926.134999999995,37.5,1.5
Churn Risk,BANDRA E MUMBAI,1,41467.0,68.0,2.0
Churn Risk,BANGALORE,263,72916.9227756654,51.90114068441065,1.7338403041825095
Churn Risk,BANGALURU,1,50349.0,25.0,2.0
Churn Risk,BANKURA,1,45265.0,43.0,3.0
Churn Risk,BANNERGATTA ROAD BANGALORE,1,96266.32,49.0,2.0
Churn Risk,BARABANKI,1,45676.0,69.0,2.0
Churn Risk,BARAMATI,1,82300.0,64.0,2.0
Churn Risk,BARDDHAMAN,1,50370.0,59.0,2.0
Churn Risk,BAREILLY,6,76173.84666666666,52.833333333333336,1.5
Churn Risk,BARIATU ROAD RANCHI,1,46276.74,66.0,2.0
Churn Risk,BARIATU ROAD RANCHI RANCHI,1,50010.0,41.0,2.0
Churn Risk,BARODA,1,50730.0,57.0,2.0
Churn Risk,BASTI,2,59975.0,32.5,4.0
Churn Risk,BATHINDA,2,107401.5,42.0,1.5
Churn Risk,BENGALOORU,2,96106.5,54.0,2.0
Churn Risk,BENGALURU,5,113649.82800000001,43.2,2.0
Churn Risk,BHARUCH,1,41076.0,47.0,1.0
Churn Risk,BHAVNAGAR,4,80237.25,54.25,2.25
Churn Risk,BHILAI,1,57011.0,51.0,2.0
Churn Risk,BHILWARA,6,70890.83333333333,65.5,1.0
Churn Risk,BHIND,1,60443.0,57.0,3.0
Churn Risk,BHINMAL,1,51100.0,39.0,2.0
Churn Risk,BHIVPURI ROAD KARJAT,1,100050.0,42.0,2.0
Churn Risk,BHIWADI,2,53428.275,34.5,2.5
Churn Risk,BHIWANDI,4,73815.43,54.0,1.75
Churn Risk,BHIWANI,2,50000.0,51.0,1.0
Churn Risk,BHOPAL,3,66575.36333333333,34.0,2.0
Churn Risk,BHUBANESHWAR,9,75913.07,38.22222222222222,1.4444444444444444
Churn Risk,BHUJ,4,56512.5,40.0,2.25
Churn Risk,BHUJ KUTCH,3,93333.33333333333,43.0,1.0
Churn Risk,BIDAR DIST KARNATAKA,1,102115.34,51.0,2.0
Churn Risk,BIJAPUR,1,50130.0,60.0,2.0
Churn Risk,BIJNOR,1,100000.0,69.0,1.0
Churn Risk,BIKANER,2,50634.0,72.0,1.0
Churn Risk,BILASPUR,1,151373.0,79.0,1.0
Churn Risk,BOISAR,4,53625.0,57.75,1.25
Churn Risk,BOISAR W,1,101348.9,39.0,2.0
Churn Risk,BORIVALI EAST MUMBAI,1,309093.0,28.0,2.0
Churn Risk,BURDWAN,3,80433.29333333333,63.333333333333336,2.0
Churn Risk,CHAMARAJANAGAR,2,56890.0,72.0,1.0
Churn Risk,CHANDIGARH,26,76585.41653846155,38.96153846153846,2.076923076923077
Churn Risk,CHANDRAGIRI,1,81672.0,55.0,2.0
Churn Risk,CHENGANNUR,1,64398.44,67.0,2.0
Churn Risk,CHENNAI,67,78338.44567164179,51.61194029850746,1.6567164179104477
Churn Risk,CHESTER,2,55607.0,66.5,1.0
Churn Risk,CHHATTISGARH,1,64606.0,55.0,1.0
Churn Risk,CHIKKABALLAPUR DIST,1,42581.5,43.0,2.0
Churn Risk,CHITTO0R,1,52859.5,74.0,2.0
Churn Risk,CHITTORGARH,1,50250.0,39.0,1.0
Churn Risk,COCHIN,1,63697.0,68.0,3.0
Churn Risk,COCKEYSVILLE,1,50200.0,48.0,2.0
Churn Risk,COIMBATORE,9,63941.93666666666,53.333333333333336,1.6666666666666667
Churn Risk,COLONY MUMBAI,1,100100.0,69.0,2.0
Churn Risk,COURT HYDERABAD,1,63920.0,0.0,3.0
Churn Risk,CUTTACK,2,45832.990000000005,56.5,2.0
Churn Risk,DAMAN,1,155276.0,48.0,2.0
Churn Risk,DARIBA,1,50760.0,39.0,2.0
Churn Risk,DASAI,1,46853.5,48.0,3.0
Churn Risk,DAUSA,1,86319.01,41.0,2.0
Churn Risk,DEHRADUN,7,55767.525714285715,53.857142857142854,1.5714285714285714
Churn Risk,DELHI,177,72124.08361581921,49.12429378531073,1.7740112994350283
Churn Risk,DENTAL COLLEGE BENGALURU,1,123571.93,55.0,2.0
Churn Risk,DEOLALI CAMP NASIK,1,103622.0,41.0,2.0
Churn Risk,DEORIA,1,100029.0,40.0,2.0
Churn Risk,DEPOT MUMBAI,1,317827.25,60.0,3.0
Churn Risk,DHANBAD,1,54300.0,25.0,2.0
Churn Risk,DHARMAPURI,1,50642.369999999995,60.0,2.0
Churn Risk,DHURI,8,46864.25,56.375,1.625
Churn Risk,DOHA,2,44400.0,44.0,1.5
Churn Risk,DUBAI,3,73928.0,49.333333333333336,1.0
Churn Risk,DURGAPUR,2,60981.5,40.0,1.5
Churn Risk,E THANE,1,44391.0,48.0,2.0
Churn Risk,EAST DELHI,1,106465.0,41.0,4.0
Churn Risk,EAST GODAVARI,1,46145.0,36.0,2.0
Churn Risk,EAST MUMBAI,1,64261.06,56.0,3.0
Churn Risk,ELECTRIC OFFICE AGARTALA,1,88529.0,43.0,2.0
Churn Risk,ELPHINSTONE MUMBAI,1,50200.0,48.0,2.0
Churn Risk,ENCLAVE HYDERABAD,1,60200.0,50.0,2.0
Churn Risk,ERNAKULAM,8,65625.77249999999,47.625,1.625
Churn Risk,ERODE,2,45852.5,40.0,1.0
Churn Risk,FARIDABAD,24,76443.25958333333,56.375,1.6666666666666667
Churn Risk,FARIDKOT,1,90745.0,55.0,2.0
Churn Risk,FATEHGARH SAHIB,2,62886.95,45.0,2.0
Churn Risk,FEROZEPUR,6,54144.0,66.0,1.3333333333333333
Churn Risk,FIROZABAD,2,48000.0,69.0,1.0
Churn Risk,FOR WOMEN HYDERABAD,1,78970.0,43.0,2.0
Churn Risk,GANDHIDHAM,2,48917.0,24.0,2.5
Churn Risk,GANDHINAGAR,2,49498.0,40.5,3.0
Churn Risk,GANGTOK,1,42442.0,47.0,2.0
Churn Risk,GARDEN NAVI MUMBAI THANE,2,207675.0,47.0,1.5
Churn Risk,GARHSHANKAR,1,58849.0,57.0,3.0
Churn Risk,GATE NO 4 MUMBAI,3,311720.3333333333,29.0,1.3333333333333333
Churn Risk,GAUTAM BUDDHA NAGAR,1,50351.0,29.0,3.0
Churn Risk,GAUTAM BUDH NAGAR,1,100558.96,42.0,2.0
Churn Risk,GEORAI BEED,1,55854.0,60.0,2.0
Churn Risk,GHAZIABAD,42,71175.35142857142,50.476190476190474,1.619047619047619
Churn Risk,GHAZIPUR,1,69400.0,44.0,3.0
Churn Risk,GHODBUNDER ROAD THANE (W) THANE,1,52664.0,76.0,1.0
Churn Risk,GONDA,1,63000.0,39.0,1.0
Churn Risk,GOPALGANJ,1,88142.51,25.0,2.0
Churn Risk,GORAKHPUR,1,50830.0,60.0,1.0
Churn Risk,GREATER NOIDA,4,55273.25,61.25,1.5
Churn Risk,GUNTUR,30,72137.59933333333,50.333333333333336,1.4
Churn Risk,GURGAON,192,82568.0559375,49.296875,1.6614583333333333
Churn Risk,GUWAHATI,10,65919.6,39.6,1.6
Churn Risk,GWALIOR,6,106456.85833333334,43.166666666666664,1.5
Churn Risk,HAJIPUR,1,100555.0,59.0,2.0
Churn Risk,HAMIRPUR,3,79238.66666666667,46.0,1.3333333333333333
Churn Risk,HATHRAS,1,50597.0,55.0,2.0
Churn Risk,HIGHWAY GOREGAON (EAST) MUMBAI,1,100100.0,48.0,2.0
Churn Risk,HOOGHLY,3,75393.5,60.333333333333336,2.0
Churn Risk,HOSUR,2,85145.995,40.5,3.0
Churn Risk,HOWRAH,9,70176.99444444444,57.77777777777778,2.111111111111111
Churn Risk,HUBLI,1,50400.0,41.0,1.0
Churn Risk,HYDERABAD,74,82182.34554054054,51.54054054054054,1.8918918918918919
Churn Risk,INDIRAPURAM,2,75440.0,56.5,1.5
Churn Risk,INDORE,7,59716.28571428572,54.57142857142857,1.4285714285714286
Churn Risk,JAIPUR,16,71000.0375,47.625,2.3125
Churn Risk,JAIPUR DURGAPURA,1,378615.46,36.0,2.0
Churn Risk,JALANDHAR,8,110814.59625,40.625,1.625
Churn Risk,JALPAIGURI SILIGURI,1,59097.0,70.0,1.0
Churn Risk,JAMMU,3,56994.426666666666,44.666666666666664,1.6666666666666667
Churn Risk,JAMNAGAR,14,58611.16571428572,42.0,1.2857142857142858
Churn Risk,JAMSHEDPUR,2,60018.229999999996,68.0,2.5
Churn Risk,JHAJJAR,1,60838.0,62.0,3.0
Churn Risk,JHALAWAR,1,51712.0,41.0,2.0
Churn Risk,JODHPUR,6,67982.94166666667,51.0,1.5
Churn Risk,K K NAGAR CHENNAI,1,50342.5,57.0,2.0
Churn Risk,K V RANGAREDDY,5,88908.0,65.2,1.4
Churn Risk,KADAPA,1,52311.2,48.0,4.0
Churn Risk,KADI,1,57696.0,24.0,1.0
Churn Risk,KAITHAL,1,50817.58,26.0,4.0
Churn Risk,KALKA,1,41895.0,47.0,2.0
Churn Risk,KALYANI,1,45751.0,65.0,1.0
Churn Risk,KALYANI NAGAR PUNE,1,55397.0,44.0,4.0
Churn Risk,KANCHEEPURAM,5,51158.4,63.8,1.4
Churn Risk,KANGRA,7,60647.532857142854,43.142857142857146,2.4285714285714284
Churn Risk,KANNUR,3,70610.33333333333,44.0,1.0
Churn Risk,KANPUR,5,100534.0,52.0,1.8
Churn Risk,KANPUR NAGAR,1,58038.0,74.0,1.0
Churn Risk,KARIMNAGAR,1,101295.0,51.0,2.0
Churn Risk,KARJAT RAIGAD,1,50170.0,33.0,1.0
Churn Risk,KARNAL,15,86334.95266666666,59.06666666666667,1.4
Churn Risk,KASHIPUR,1,51804.85,48.0,2.0
Churn Risk,KATGHORA,2,64709.5,59.0,2.0
Churn Risk,KATIHAR,1,50062.0,38.0,2.0
Churn Risk,KHAGARIA,1,100114.0,76.0,2.0
Churn Risk,KHAMMAM,2,100357.5,39.5,2.5
Churn Risk,KHANNA,6,87951.40999999999,56.0,1.6666666666666667
Churn Risk,KHARAR,4,79454.5,55.0,1.75
